Polar Representation Log
n=10, generations=200, population=200
crossover_prob=0.8, mutation_prob=0.1, indpb=0.2, seed=42
================================================================================

Gen 57: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (-0.327910,0.929079), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 58: [(-0.819332,0.093855), (0.216492,0.570372), (0.992726,-0.018537), (-0.743026,-0.516918), (0.565937,-0.428354), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 59: [(-0.819332,0.093855), (0.216492,0.570372), (0.992726,-0.018537), (-0.743026,-0.516918), (0.565937,-0.428354), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 60: [(-0.819332,0.093855), (0.216492,0.570372), (0.992726,-0.018537), (-0.743026,-0.516918), (0.565937,-0.428354), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 61: [(-0.819332,0.093855), (0.216492,0.570372), (0.992726,-0.018537), (-0.743026,-0.516918), (0.565937,-0.428354), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 62: [(-0.819332,0.093855), (0.216492,0.570372), (0.992726,-0.018537), (-0.743026,-0.516918), (0.565937,-0.428354), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 63: [(-0.819332,0.093855), (0.216492,0.570372), (0.992726,-0.018537), (-0.743026,-0.516918), (0.565937,-0.428354), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 64: [(-0.819332,0.093855), (0.216492,0.570372), (0.845935,-0.493776), (-0.743026,-0.516918), (0.028713,-0.367674), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 65: [(-0.819332,0.093855), (0.216492,0.570372), (0.992726,-0.018537), (-0.743026,-0.516918), (0.565937,-0.428354), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 66: [(-0.819332,0.093855), (0.216492,0.570372), (0.992726,-0.018537), (-0.743026,-0.516918), (0.565937,-0.428354), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 67: [(-0.819332,0.093855), (0.216492,0.570372), (0.992726,-0.018537), (-0.743026,-0.516918), (0.565937,-0.428354), (-0.487703,0.503321), (0.394262,-0.882174), (0.106414,0.127381), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 68: [(-0.819332,0.093855), (0.216492,0.570372), (0.992726,-0.018537), (-0.743026,-0.516918), (0.565937,-0.428354), (-0.487703,0.503321), (0.394262,-0.882174), (-0.202341,-0.428991), (0.730988,0.371477), (-0.394318,-0.874069)]
